id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
,,32075,32075,32075, 60 months,11.8,710.26,B,B4,Nursing Supervisor,10+ years,MORTGAGE,150000,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,231xx,VA,22.21,0,Aug-2005,0,,,17,0,19077,32.0,24,w,31281.41,31281.41,1388.98,1388.98,793.59,595.39,0.0,0.0,0.0,Feb-2019,710.26,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,272667,1,4,1,1,9.0,37558,47.0,1,1,3910,41,59600,1,2,0,3,16039,10446.0,47.8,0,0,160.0,70,4,4,2,27.0,,14.0,,0,4,10,4,4,8,12,14,10,17,0.0,0,0,2,100.0,50.0,0,0,360433,56635,20000,80125,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000, 60 months,13.56,276.49,C,C1,,< 1 year,MORTGAGE,40000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,180xx,PA,19.23,0,Aug-2005,2,,,8,0,23195,55.5,9,w,11716.63,11716.63,539.42,539.42,283.37,256.05,0.0,0.0,0.0,Feb-2019,276.49,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,32462,1,1,1,1,4.0,9267,103.0,2,2,9747,64,41800,1,0,3,3,4058,16601.0,54.9,0,0,4.0,149,9,4,1,10.0,,4.0,,0,5,6,5,5,1,7,7,6,8,0.0,0,0,3,100.0,60.0,0,0,50800,32462,36800,9000,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10000,10000,10000, 60 months,19.92,264.5,D,D3,Material Handler,10+ years,MORTGAGE,80000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,648xx,MO,20.67,0,Apr-2005,0,37.0,,11,0,13198,73.7,19,w,9801.36,9801.36,512.4,512.4,198.64,313.76,0.0,0.0,0.0,Feb-2019,264.5,Mar-2019,Feb-2019,0,37.0,1,Individual,,,,0,116,110120,0,2,0,1,15.0,24408,70.0,1,1,6521,72,17900,0,0,1,2,10011,779.0,90.3,0,0,148.0,164,11,11,1,149.0,37.0,11.0,37.0,0,2,8,2,4,6,8,12,8,11,0.0,0,0,1,84.2,50.0,0,0,170230,37606,8000,55030,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,16000,16000,16000, 60 months,17.97,406.04,D,D1,Instructional Coordinator,5 years,MORTGAGE,51000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,284xx,NC,21.91,0,Oct-2005,1,52.0,,11,0,7326,24.8,27,w,15664.63,15664.63,788.12,788.12,335.37,452.75,0.0,0.0,0.0,Feb-2019,406.04,Mar-2019,Feb-2019,0,52.0,1,Individual,,,,0,0,39339,3,8,2,2,2.0,32013,83.0,1,1,3881,58,29500,0,0,1,3,3576,22174.0,24.8,0,0,123.0,158,6,2,0,6.0,52.0,4.0,52.0,6,2,2,3,6,21,3,6,2,11,0.0,0,0,3,77.8,0.0,0,0,67924,39339,29500,38424,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,3300,3300,3300, 36 months,23.4,128.44,E,E1,Program Manager,3 years,RENT,49700,Source Verified,Dec-2018,Current,n,,,vacation,Vacation,310xx,GA,14.32,0,Nov-2006,1,43.0,,6,0,2358,26.5,46,w,3170.57,3170.57,250.44,250.44,129.43,121.01,0.0,0.0,0.0,Feb-2019,128.44,Mar-2019,Feb-2019,0,43.0,1,Individual,,,,0,0,166884,2,2,0,2,18.0,164526,75.0,2,2,2091,51,8900,0,0,1,4,27814,491.0,82.5,0,0,145.0,79,1,1,0,59.0,43.0,1.0,43.0,3,2,3,2,3,39,4,7,3,6,0.0,0,0,2,90.9,50.0,0,0,170985,166884,2800,162085,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,20000,20000,20000, 60 months,11.8,442.88,B,B4,,,MORTGAGE,47590,Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,156xx,PA,9.53,0,Sep-1999,0,62.0,,7,0,14134,84.1,13,w,19505.15,19505.15,866.09,866.09,494.85,371.24,0.0,0.0,0.0,Feb-2019,442.88,Mar-2019,Feb-2019,0,62.0,1,Joint App,67590.0,24.54,,0,0,92620,1,0,0,0,206.0,0,,2,3,7853,84,16800,0,0,0,3,13231,666.0,95.5,0,0,231.0,54,6,6,1,6.0,,,,0,5,5,5,5,6,6,6,5,7,0.0,0,0,2,76.9,100.0,0,0,126400,14134,14800,0,32918.0,Dec-1996,0.0,0.0,17.0,92.0,6.0,11.0,0.0,0.0,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,3500,3500,3500, 36 months,20.89,131.67,D,D4,Budget & Procurement Specialist,10+ years,RENT,33190,Source Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,850xx,AZ,19.71,0,Sep-2006,0,36.0,,8,0,5072,69.5,13,w,3357.29,3357.29,257.25,257.25,142.71,114.54,0.0,0.0,0.0,Feb-2019,131.67,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,9812,0,1,0,1,17.0,4740,68.0,0,0,1140,69,7300,1,2,0,1,1227,1867.0,54.5,0,0,147.0,138,39,17,0,39.0,,17.0,36.0,0,4,7,4,6,4,7,9,7,8,0.0,0,0,0,92.3,75.0,0,0,14300,9812,4100,7000,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000, 36 months,26.31,485.48,E,E4,,5 years,OWN,19000,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,628xx,IL,35.88,0,Aug-1996,0,,,7,0,13467,70.5,11,w,11550.36,11550.36,944.65,944.65,449.64,495.01,0.0,0.0,0.0,Feb-2019,485.48,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,15094,0,1,0,0,28.0,1627,32.0,0,1,8041,62,19100,0,0,5,1,2516,709.0,93.4,0,0,126.0,268,24,24,0,140.0,,0.0,,0,2,5,2,2,2,6,9,5,7,0.0,0,0,0,100.0,100.0,0,0,24200,15094,10700,5100,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10000,10000,10000, 36 months,20.89,376.19,D,D4,Foreman shop ,7 years,RENT,74000,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,114xx,NY,11.21,0,May-2015,1,,,10,0,10669,41.5,12,w,9082.09,9082.09,1234.97,1234.97,917.91,317.06,0.0,0.0,0.0,Feb-2019,376.19,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,13787,4,2,2,2,4.0,3118,68.0,5,6,3419,46,25700,0,0,1,8,1379,8880.0,54.5,0,0,4.0,43,3,3,0,7.0,,4.0,,0,5,6,5,6,2,8,10,6,10,0.0,0,0,7,100.0,40.0,0,0,30272,13787,19500,4572,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,6000,6000,5975, 36 months,6.46,183.79,A,A1,Substance Abuse Counselor,1 year,MORTGAGE,40000,Source Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,750xx,TX,12.87,0,Nov-1999,1,,,9,0,7313,29.8,15,f,5848.5,5824.13,185.95,185.18,151.5,34.45,0.0,0.0,0.0,Feb-2019,189.18,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,66069,1,2,1,2,11.0,12605,90.0,1,1,3179,52,24500,1,0,3,3,7341,15085.0,26.8,0,0,20.0,229,3,3,2,29.0,,3.0,,0,2,3,4,6,2,6,11,3,9,0.0,0,0,2,100.0,25.0,0,0,88400,19918,20600,14025,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,25000,25000,25000, 60 months,27.27,767.43,E,E5,Business Intelligence Engineer,5 years,MORTGAGE,171000,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,980xx,WA,14.66,1,Dec-1998,1,10.0,,14,0,19599,75.4,50,w,24800.69,24800.69,748.5,748.5,199.31,549.19,0.0,0.0,0.0,Feb-2019,805.31,Mar-2019,Jan-2019,0,,1,Joint App,176000.0,15.42,Not Verified,0,0,588038,2,5,2,5,5.0,122761,85.0,1,4,12247,82,26000,1,8,4,10,45234,1753.0,87.5,0,0,139.0,148,12,5,5,24.0,,3.0,10.0,0,1,2,2,6,28,7,15,2,14,0.0,0,0,3,95.7,50.0,0,0,618336,142360,14000,137816,19599.0,May-2007,1.0,2.0,3.0,95.7,1.0,5.0,0.0,0.0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,20000,20000,20000, 36 months,12.98,673.69,B,B5,FC,5 years,RENT,74800,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,618xx,IL,23.5,0,Aug-1989,0,,,10,0,30052,88.4,18,w,19080.34,19080.34,1325.75,1325.75,919.66,406.09,0.0,0.0,0.0,Feb-2019,673.69,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,39977,0,2,0,2,15.0,9925,55.0,0,1,13324,77,34000,1,1,0,3,4442,748.0,97.4,0,0,303.0,247,16,15,0,16.0,,13.0,,0,4,6,4,6,6,8,10,6,10,0.0,0,0,0,100.0,100.0,0,0,52000,39977,28700,18000,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,2200,2200,2200, 36 months,15.02,76.29,C,C3,,,RENT,70000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,871xx,NM,14.16,1,Feb-2006,0,7.0,,7,0,1012,77.8,12,w,2101.88,2101.88,149.83,149.83,98.12,51.71,0.0,0.0,0.0,Feb-2019,76.29,Mar-2019,Feb-2019,0,47.0,1,Individual,,,,0,0,174948,0,4,1,3,8.0,16302,56.0,0,1,632,57,1300,2,0,1,4,24993,288.0,77.8,0,0,123.0,133,24,8,1,24.0,,8.0,,1,2,2,2,2,8,2,3,2,7,0.0,0,0,1,83.3,100.0,0,0,228937,17314,1300,29137,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,25000,25000,25000, 60 months,17.97,634.43,D,D1,Information technology ,7 years,RENT,53000,Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,368xx,AL,12.64,0,Apr-2012,0,,,3,0,26258,83.4,10,w,24476.0,24476.0,1231.42,1231.42,524.0,707.42,0.0,0.0,0.0,Feb-2019,634.43,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,26258,0,0,1,1,11.0,0,,0,0,0,83,31500,0,6,0,1,8753,,,0,0,80.0,79,55,11,0,,,,,0,0,3,0,0,6,3,4,3,3,0.0,0,0,1,100.0,,0,0,31500,26258,0,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,4000,4000,4000, 36 months,11.8,132.48,B,B4,,,RENT,20000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,151xx,PA,12.24,0,Sep-2012,0,,,19,0,1045,3.9,28,w,3812.79,3812.79,261.03,261.03,187.21,73.82,0.0,0.0,0.0,Feb-2019,132.48,Mar-2019,Feb-2019,0,,1,Individual,,,,0,500,4255,1,1,1,1,10.0,3210,80.0,4,8,646,14,26900,1,0,2,9,224,13204.0,7.0,0,0,75.0,56,4,4,0,8.0,,10.0,,0,3,4,7,10,2,18,26,4,19,0.0,0,0,5,100.0,0.0,0,0,30900,4255,14200,4000,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,1250,1250,1250, 36 months,23.4,48.65,E,E1,BANKER,10+ years,RENT,52000,Source Verified,Dec-2018,Current,n,,,other,Other,477xx,IN,9.9,0,Jan-2011,2,,,7,0,8050,28.9,10,w,1201.07,1201.07,94.86,94.86,48.93,45.93,0.0,0.0,0.0,Feb-2019,48.65,Mar-2019,Dec-2018,0,,1,Individual,,,,0,0,8050,1,0,0,0,53.0,0,,1,2,4356,29,27900,1,0,2,2,1150,6483.0,54.3,0,0,53.0,95,2,2,0,2.0,,1.0,,0,4,7,4,6,1,7,9,7,7,0.0,0,0,1,100.0,0.0,0,0,27900,8050,14200,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10400,10400,10400, 36 months,12.98,350.32,B,B5,Program Support Assistant ,10+ years,MORTGAGE,56099,Source Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,800xx,CO,20.92,0,Jul-2013,2,32.0,67.0,8,1,1669,9.8,10,w,9921.77,9921.77,689.39,689.39,478.23,211.16,0.0,0.0,0.0,Feb-2019,350.32,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,39564,4,2,1,2,1.0,37895,92.0,3,6,725,36,17000,1,0,4,8,4946,15331.0,9.8,0,0,65.0,57,1,1,0,1.0,,0.0,32.0,0,3,3,6,6,3,6,7,3,8,0.0,0,0,4,90.0,0.0,1,0,60709,39564,17000,43709,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,7500,7500,7475, 36 months,11.8,248.4,B,B4,,,MORTGAGE,32700,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,716xx,AR,28.26,0,Jul-2005,0,,,8,0,7144,44.1,10,f,7148.98,7125.15,489.42,487.79,351.02,138.4,0.0,0.0,0.0,Feb-2019,248.4,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,113541,1,3,1,1,6.0,27695,59.0,0,0,3157,55,16200,1,0,2,1,14193,5056.0,58.6,0,0,161.0,146,29,6,2,29.0,,6.0,,0,3,3,3,3,4,4,4,3,8,0.0,0,0,1,100.0,66.7,0,0,160477,34839,12200,46648,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,7000,7000,6975, 36 months,10.72,228.25,B,B2,Business Analyst,< 1 year,MORTGAGE,97000,Source Verified,Dec-2018,Current,n,,,other,Other,201xx,VA,33.17,0,Sep-2011,1,,,18,0,1988,7.5,30,f,4838.45,4821.17,2238.38,2230.39,2161.55,76.83,0.0,0.0,0.0,Feb-2019,244.63,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,589583,2,14,3,6,1.0,113133,59.0,0,1,1988,49,26600,5,0,4,8,32755,19612.0,9.2,0,0,87.0,66,23,1,1,42.0,,1.0,,0,1,1,2,4,20,3,8,1,18,0.0,0,0,3,100.0,0.0,0,0,677593,115121,21600,160050,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,25000,25000,25000, 36 months,12.98,842.11,B,B5,,,OWN,30000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,028xx,RI,24.88,0,Aug-1999,0,,,5,0,14231,23.8,12,w,23850.43,23850.43,1657.18,1657.18,1149.57,507.61,0.0,0.0,0.0,Feb-2019,842.11,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,18729,0,1,0,2,17.0,4498,38.0,0,0,12843,26,59800,2,1,0,2,3746,45569.0,23.8,0,0,174.0,232,87,17,0,87.0,,17.0,,0,3,3,4,5,6,4,6,3,5,0.0,0,0,0,100.0,25.0,0,0,71800,18729,59800,12000,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,8000,8000,8000, 36 months,11.8,264.96,B,B4,Program Manager,7 years,MORTGAGE,85000,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,366xx,AL,23.61,0,Dec-1991,1,,,11,0,29038,47.2,29,w,7625.58,7625.58,522.05,522.05,374.42,147.63,0.0,0.0,0.0,Feb-2019,264.96,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,103435,0,3,0,1,22.0,74397,35.0,1,3,10929,44,61500,1,0,1,4,10344,19302.0,57.8,0,0,123.0,324,9,9,0,9.0,,4.0,,0,5,7,5,8,18,8,11,7,11,0.0,0,0,1,100.0,60.0,0,0,151710,103435,45700,90210,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,9000,9000,9000, 36 months,10.33,291.81,B,B1,Millwright,4 years,MORTGAGE,75000,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,549xx,WI,13.14,0,Nov-2007,2,57.0,,7,0,7871,31.1,15,w,8569.48,8569.48,575.87,575.87,430.52,145.35,0.0,0.0,0.0,Feb-2019,291.81,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,97100,2,1,2,2,1.0,38553,,2,2,2958,31,25300,2,2,4,4,13871,15929.0,33.1,0,0,133.0,121,10,1,1,10.0,,2.0,74.0,0,4,4,4,4,8,5,6,4,7,0.0,0,0,4,86.7,0.0,0,0,119853,46424,23800,38553,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,9600,9600,9600, 36 months,15.02,332.89,C,C3,Fuel truck driver,10+ years,OWN,60000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,087xx,NJ,32.64,1,Oct-2007,1,17.0,,14,0,16424,73.0,32,w,9171.88,9171.88,653.76,653.76,428.12,225.64,0.0,0.0,0.0,Feb-2019,332.89,Mar-2019,Feb-2019,0,57.0,1,Individual,,,,0,0,65733,1,3,2,3,7.0,49309,88.0,4,4,8398,84,22500,7,0,10,7,4695,3319.0,81.4,0,0,134.0,115,2,2,0,2.0,57.0,2.0,17.0,4,6,9,6,9,13,11,19,9,14,0.0,0,0,6,84.4,66.7,0,0,78661,65733,17800,56161,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,8000,8000,8000, 36 months,10.72,260.86,B,B2,Publications and Images Project Manager,10+ years,MORTGAGE,82923,Source Verified,Dec-2018,Current,n,,,car,Car financing,802xx,CO,18.55,0,Jul-1986,0,56.0,,11,0,16255,50.3,25,w,7619.52,7619.52,514.57,514.57,380.48,134.09,0.0,0.0,0.0,Feb-2019,260.86,Mar-2019,Feb-2019,0,71.0,1,Individual,,,,0,0,341504,1,3,0,2,15.0,55968,95.0,0,0,13624,79,32300,0,1,4,3,34150,8676.0,61.1,0,0,143.0,141,25,3,2,37.0,71.0,0.0,71.0,4,1,4,2,3,12,6,10,4,11,0.0,0,0,1,80.0,50.0,0,0,360944,72223,22300,59007,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000, 36 months,16.14,422.72,C,C4,Trainer,6 years,RENT,24000,Source Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,857xx,AZ,23.55,0,Nov-2014,0,,,8,0,7188,50.3,12,w,11474.78,11474.78,829.3,829.3,525.22,304.08,0.0,0.0,0.0,Feb-2019,422.72,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,16264,1,2,1,3,10.0,9076,76.0,2,2,1839,62,14300,1,3,1,5,2033,361.0,91.0,0,0,42.0,49,3,3,0,3.0,,11.0,,0,2,6,2,2,4,6,8,6,8,0.0,0,0,3,100.0,100.0,0,0,26248,16264,4000,11948,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,20000,20000,20000, 36 months,13.56,679.29,C,C1,Armed Security officer,9 years,MORTGAGE,40000,Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,064xx,CT,31.02,7,Apr-1995,0,4.0,,16,0,17101,48.0,27,w,19088.3,19088.3,1335.98,1335.98,911.7,424.28,0.0,0.0,0.0,Feb-2019,679.29,Mar-2019,Dec-2018,0,,1,Individual,,,,0,0,30051,0,2,0,1,21.0,12950,47.0,0,0,12330,48,35900,0,0,1,1,1878,4520.0,71.0,0,0,56.0,284,59,21,1,60.0,9.0,9.0,4.0,0,5,14,3,7,2,14,25,8,16,,0,0,0,67.0,40.0,0,0,63645,30051,22600,27745,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,40000,40000,40000, 60 months,14.47,940.51,C,C2,,< 1 year,MORTGAGE,500000,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,302xx,GA,13.47,0,Jul-1992,1,,,14,0,306893,84.1,27,w,39078.12,39078.12,1832.79,1832.79,921.88,910.91,0.0,0.0,0.0,Feb-2019,940.51,Mar-2019,Jan-2019,0,,1,Individual,,,,0,0,813860,2,5,2,3,2.0,147101,51.0,0,0,39889,69,349200,5,0,6,3,58133,8890.0,83.9,0,0,174.0,317,39,2,3,39.0,,3.0,,0,4,7,4,8,10,7,14,7,14,0.0,0,0,2,100.0,100.0,0,0,1197171,453994,89200,184971,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,14400,14400,14400, 60 months,14.47,338.59,C,C2,Director,3 years,RENT,110000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,920xx,CA,10.83,1,Aug-2006,1,21.0,106.0,5,1,20451,65.3,10,w,14068.11,14068.11,659.82,659.82,331.89,327.93,0.0,0.0,0.0,Feb-2019,338.59,Mar-2019,Feb-2019,0,21.0,1,Individual,,,,0,0,35067,1,1,1,1,3.0,14616,97.0,0,0,10885,76,31300,0,3,1,1,7013,9460.0,55.6,0,0,59.0,148,60,3,1,77.0,,4.0,,1,2,3,3,3,3,4,6,3,5,0.0,0,1,1,90.0,33.3,1,0,46300,35067,21300,15000,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,22400,22400,22400, 36 months,8.81,710.34,A,A5,Manager,2 years,MORTGAGE,30000,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,062xx,CT,43.32,0,Oct-1988,0,,,9,0,13929,41.7,17,w,21304.22,21304.22,1404.23,1404.23,1095.78,308.45,0.0,0.0,0.0,Feb-2019,710.34,Mar-2019,Feb-2019,0,,1,Joint App,85000.0,27.84,Source Verified,0,0,210356,0,2,0,1,20.0,7476,39.0,1,2,5361,41,33400,0,0,1,3,23373,8986.0,55.1,0,0,151.0,362,11,11,2,11.0,,11.0,,0,3,5,3,3,4,6,11,5,9,0.0,0,0,1,100.0,0.0,0,0,260635,21405,20000,19174,34437.0,Oct-2006,0.0,2.0,10.0,71.8,3.0,9.0,0.0,0.0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,25000,25000,25000, 36 months,10.33,810.56,B,B1,Agent,2 years,OWN,78000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,371xx,TN,25.67,0,Feb-2005,0,,,15,0,23635,49.0,24,w,23804.17,23804.17,1599.6,1599.6,1195.83,403.77,0.0,0.0,0.0,Feb-2019,810.56,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,41676,0,2,0,2,17.0,18041,72.0,0,1,6443,57,48200,1,1,0,3,2778,8447.0,68.1,0,0,142.0,166,13,13,1,29.0,,13.0,,0,6,12,7,8,7,13,16,12,15,0.0,0,0,0,100.0,28.6,0,0,73350,41676,26500,25150,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,26000,26000,26000, 60 months,18.94,673.6,D,D2,Mortgage loan processor,10+ years,MORTGAGE,40000,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,486xx,MI,20.61,0,Aug-2002,0,41.0,,3,0,1372,17.8,22,w,25469.38,25469.38,1306.16,1306.16,530.62,775.54,0.0,0.0,0.0,Feb-2019,673.6,Mar-2019,Feb-2019,0,,1,Individual,,,,0,258,68591,0,1,1,2,9.0,21766,87.0,0,0,1372,71,7700,1,0,0,2,22864,6328.0,17.8,0,0,61.0,189,56,9,1,56.0,41.0,17.0,41.0,0,1,1,1,12,7,1,14,1,3,0.0,0,0,1,90.9,0.0,0,0,105000,23138,7700,25000,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,25000,25000,25000, 60 months,15.02,595.02,C,C3,CFO ,10+ years,MORTGAGE,63500,Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,287xx,NC,27.52,0,Oct-2003,0,,60.0,7,1,7742,41.0,23,w,24432.26,24432.26,1158.75,1158.75,567.74,591.01,0.0,0.0,0.0,Feb-2019,595.02,Mar-2019,Feb-2019,0,,1,Joint App,123500.0,14.53,Verified,0,0,85514,1,2,3,4,3.0,77772,93.0,1,3,3215,71,18900,0,0,4,7,12216,9185.0,25.9,0,0,141.0,182,7,3,1,33.0,,11.0,,0,1,4,2,4,13,5,9,4,7,0.0,0,0,4,100.0,0.0,1,0,100078,85514,12400,81178,7980.0,Nov-1996,0.0,2.0,10.0,26.3,2.0,10.0,0.0,0.0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,1000,1000,1000, 36 months,30.75,42.87,F,F5,,,MORTGAGE,50000,Verified,Dec-2018,Current,n,,,other,Other,604xx,IL,19.9,0,Apr-2004,0,,,5,0,9833,99.3,12,w,965.07,965.07,83.18,83.18,34.93,48.25,0.0,0.0,0.0,Feb-2019,42.87,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,184668,1,2,1,1,6.0,18397,65.0,1,1,4959,74,9900,3,1,7,3,36934,67.0,99.3,0,0,140.0,173,9,6,3,9.0,,6.0,,0,2,2,2,4,4,2,5,2,5,0.0,0,0,2,100.0,100.0,0,0,199227,28230,9900,28489,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
